scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus
Leopardus pardalis,Mammalia,Carnivora,Felidae,Leopardus,pardalis,,ocelote,LC,
Leopardus wiedii,Mammalia,Carnivora,Felidae,Leopardus,wiedii,,margay,NT,
Lontra longicaudis,Mammalia,Carnivora,Mustelidae,Lontra,longicaudis,,lobito de río,NT,
Lundomys molitor,Mammalia,Rodentia,Cricetidae,Lundomys,molitor,,rata de agua grande,LC,
Lutreolina crassicaudata,Mammalia,Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,,comadreja colorada grande,LC,
Lycalopex gymnocercus,Mammalia,Carnivora,Canidae,Lycalopex,gymnocercus,,zorro gris,LC,
Mazama gouazoubira,Mammalia,Artiodactyla,Cervidae,Mazama,gouazoubira,,guazubirá,LC,
Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,novaeangliae,,ballena jorobada,LC,
Mesoplodon bowdoini,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon,bowdoini,,zifio de Andrews,DD,
Mesoplodon layardii,Mammalia,Cetacea,Hyperoodontidae,Mesoplodon,layardii,,zifio de Layard,DD,
Mirounga leonina,Mammalia,Carnivora,Phocidae,Mirounga,leonina,,elefante marino del sur,LC,
Molossops temminckii,Mammalia,Chiroptera,Molossidae,Molossops,temminckii,,moloso de temminck,LC,
Molossus molossus,Mammalia,Chiroptera,Molossidae,Molossus,molossus,,molosso común,LC,
Molossus rufus,Mammalia,Chiroptera,Molossidae,Molossus,rufus,,molosso grande,LC,
Monodelphis dimidiata,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,dimidiata,,comadreja colorada chica,LC,
Myocastor coypus,Mammalia,Rodentia,Myocastoridae,Myocastor,coypus,,nutria,LC,
Myotis albescens,Mammalia,Chiroptera,Vespertilionidae,Myotis,albescens,,murciélago de vientre blanco,LC,
Myotis levis,Mammalia,Chiroptera,Vespertilionidae,Myotis,levis,,murciélago acanelado,LC,
Myotis nigricans,Mammalia,Chiroptera,Vespertilionidae,Myotis,nigricans,,murciélago oscuro,LC,
Myotis riparius,Mammalia,Chiroptera,Vespertilionidae,Myotis,riparius,,murciélago negruzco,LC,
Myotis ruber,Mammalia,Chiroptera,Vespertilionidae,Myotis,ruber,,murciélago rojizo,NT,
Nasua nasua,Mammalia,Carnivora,Procyonidae,Nasua,nasua,,coatí,LC,
Necromys obscurus,Mammalia,Rodentia,Cricetidae,Necromys,obscurus,,ratón oscuro,NT,
Nyctinomops laticaudatus,Mammalia,Chiroptera,Molossidae,Nyctinomops,laticaudatus,,moloso de cola larga,LC,
Nyctinomops macrotis,Mammalia,Chiroptera,Molossidae,Nyctinomops,macrotis,,,LC,
Oligoryzomys delticola,Mammalia,Rodentia,Cricetidae,Oligoryzomys,delticola,,,LC,
Oligoryzomys flavescens,Mammalia,Rodentia,Cricetidae,Oligoryzomys,flavescens,,ratón colilargo chico,LC,
Oligoryzomys nigripes,Mammalia,Rodentia,Cricetidae,Oligoryzomys,nigripes,,ratón colilargo grande,LC,
Orcinus orca,Mammalia,Cetacea,Delphinidae,Orcinus,orca,,orca,DD,
Otaria flavescens,Mammalia,Carnivora,Otariidae,Otaria,flavescens,,lobo marino de un pelo,LC,
Oxymycterus josei,Mammalia,Rodentia,Cricetidae,Oxymycterus,josei,,ratón hocicudo de José,NT,
Oxymycterus nasutus,Mammalia,Rodentia,Cricetidae,Oxymycterus,nasutus,,ratón hocicudo,LC,
Oxymycterus rufus,Mammalia,Rodentia,Cricetidae,Oxymycterus,rufus,,,LC,
Ozotoceros bezoarticus arerunguaensis,Mammalia,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,arerunguaensis,venado de campo,NT,
Ozotoceros bezoarticus uruguayensis,Mammalia,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,uruguayensis,venado de campo,NT,
Pecari tajacu,Mammalia,Artiodactyla,Tayassuidae,Pecari,tajacu,,pecarí de collar,LC,
Phocoena spinipinnis,Mammalia,Cetacea,Phocoenidae,Phocoena,spinipinnis,,marsopa espinosa,NT,
Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,macrocephalus,,cachalote,VU,
Pontoporia blainvillei,Mammalia,Cetacea,Iniidae,Pontoporia,blainvillei,,franciscana,VU,
Procyon cancrivorus,Mammalia,Carnivora,Procyonidae,Procyon,cancrivorus,,mano pelada,LC,
Promops centralis,Mammalia,Chiroptera,Molossidae,Promops,centralis,,murciélago,LC,
Pseudorca crassidens,Mammalia,Cetacea,Delphinidae,Pseudorca,crassidens,,falsa orca,NT,
Pteronura brasiliensis,Mammalia,Carnivora,Mustelidae,Pteronura,brasiliensis,,lobo grande de río,EN,
Puma concolor,Mammalia,Carnivora,Felidae,Puma,concolor,,puma,LC,
Puma yagouaroundi,Mammalia,Carnivora,Felidae,Puma,yagouaroundi,,yaguarundí,LC,
Reithrodon typicus,Mammalia,Rodentia,Cricetidae,Reithrodon,typicus,,rata conejo,LC,
Scapteromys tumidus,Mammalia,Rodentia,Cricetidae,Scapteromys,tumidus,,rata de pajonal,LC,
Stenella coeruleoalba,Mammalia,Cetacea,Delphinidae,Stenella,coeruleoalba,,delfín listado,LC,
Steno bredanensis,Mammalia,Cetacea,Delphinidae,Steno,bredanensis,,delfín de dientes rugosos,LC,
Sturnira lilium,Mammalia,Chiroptera,Phyllostomidae,Sturnira,lilium,,falso vampiro flor de lis,LC,
Tadarida brasiliensis,Mammalia,Chiroptera,Molossidae,Tadarida,brasiliensis,,murciélago,LC,
Tamandua tetradactyla,Mammalia,Pilosa,Myrmecophagidae,Tamandua,tetradactyla,,tamandua,LC,
Tursiops truncatus,Mammalia,Cetacea,Delphinidae,Tursiops,truncatus,,tonina,LC,
Wilfredomys oenax,Mammalia,Rodentia,Cricetidae,Wilfredomys,oenax,,rata de hocico ferrugineo,EN,
Ziphius cavirostris,Mammalia,Cetacea,Hyperoodontidae,Ziphius,cavirostris,,zifio de Cuvier,LC,
