scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,dynamicProperties,iucnRegionalStatus
Colaptes campestris,Aves,Piciformes,Picidae,Colaptes,campestris,,carpintero de campo,LC,
Colaptes melanochloros,Aves,Piciformes,Picidae,Colaptes,melanochloros,,carpintero nuca roja,LC,
Colaptes melanolaimus,Aves,Piciformes,Picidae,Colaptes,melanolaimus,,carpintero real común,LC,
Columbina picui,Aves,Columbiformes,Columbidae,Columbina,picui,,torcacita común,LC,
Columbina talpacoti,Aves,Columbiformes,Columbidae,Columbina,talpacoti,,torcacita colorada,LC,
Conopophaga lineata,Aves,Passeriformes,Conopophagidae,Conopophaga,lineata,,chupadientes,LC,
Coragyps atratus,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,,cuervo cabeza negra,LC,
Coryphistera alaudina,Aves,Passeriformes,Furnariidae,Coryphistera,alaudina,,crestudo,LC,
Coryphospingus cucullatus,Aves,Passeriformes,Thraupidae,Coryphospingus,cucullatus,,brasita de fuego,LC,
Coscoroba coscoroba,Aves,Anseriformes,Anatidae,Coscoroba,coscoroba,,coscoroba,LC,
Coturnicops notatus,Aves,Gruiformes,Rallidae,Coturnicops,notatus,,burrito enano,LC,
Cranioleuca obsoleta,Aves,Passeriformes,Furnariidae,Cranioleuca,obsoleta,,curutié oliváceo,LC,
Cranioleuca pyrrhophia,Aves,Passeriformes,Furnariidae,Cranioleuca,pyrrhophia,,trepadorcito,LC,
Cranioleuca sulphurifera,Aves,Passeriformes,Furnariidae,Cranioleuca,sulphurifera,,curutié ocráceo,LC,
Crotophaga ani,Aves,Cuculiformes,Cuculidae,Crotophaga,ani,,pirincho negro chico,LC,
Crotophaga major,Aves,Cuculiformes,Cuculidae,Crotophaga,major,,pirincho negro grande,LC,
Crypturellus obsoletus,Aves,Tinamiformes,Tinamidae,Crypturellus,obsoletus,,perdiz de monte,LC,
Cyanocompsa brissonii,Aves,Passeriformes,Cardinalidae,Cyanocompsa,brissonii,,reina mora,LC,
Cyanocorax caeruleus,Aves,Passeriformes,Corvidae,Cyanocorax,caeruleus,,urraca azul,NT,
Cyanocorax chrysops,Aves,Passeriformes,Corvidae,Cyanocorax,chrysops,,urraca común,LC,
Cyanocorax cyanomelas,Aves,Passeriformes,Corvidae,Cyanocorax,cyanomelas,,urraca morada,LC,
Cyanoliseus patagonus,Aves,Psittaciformes,Psittacidae,Cyanoliseus,patagonus,,loro barranquero,LC,
Cyanoloxia glaucocaerulea,Aves,Passeriformes,Cardinalidae,Cyanoloxia,glaucocaerulea,,azulito,LC,
Cyclarhis gujanensis,Aves,Passeriformes,Vireonidae,Cyclarhis,gujanensis,,juan chiviro,LC,
Cygnus melancoryphus,Aves,Anseriformes,Anatidae,Cygnus,melancoryphus,,cisne cuello negro,LC,
Daption capense,Aves,Procellariiformes,Procellariidae,Daption,capense,,petrel damero,LC,
Dendrocolaptes platyrostris,Aves,Passeriformes,Furnariidae,Dendrocolaptes,platyrostris,,trepador oscuro,LC,
Dendrocygna autumnalis,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,,,LC,
Dendrocygna bicolor,Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,,pato canela,LC,
Dendrocygna viduata,Aves,Anseriformes,Anatidae,Dendrocygna,viduata,,pato cara blanca,LC,
Diomedea epomophora,Aves,Procellariiformes,Diomedeidae,Diomedea,epomophora,,albatros real,VU,
Diuca diuca,Aves,Passeriformes,Thraupidae,Diuca,diuca,,diuca,LC,
Dolichonyx oryzivorus,Aves,Passeriformes,Icteridae,Dolichonyx,oryzivorus,,,LC,
Donacospiza albifrons,Aves,Passeriformes,Thraupidae,Donacospiza,albifrons,,monterita cabeza gris,LC,
Drymornis bridgesii,Aves,Passeriformes,Furnariidae,Drymornis,bridgesii,,trepador grande,LC,
Egretta caerulea,Aves,Pelecaniformes,Ardeidae,Egretta,caerulea,,garza azul,LC,
Egretta thula,Aves,Pelecaniformes,Ardeidae,Egretta,thula,,garza blanca chica,LC,
Elaenia albiceps,Aves,Passeriformes,Tyrannidae,Elaenia,albiceps,,fiofío silbón,LC,
Elaenia flavogaster,Aves,Passeriformes,Tyrannidae,Elaenia,flavogaster,,,LC,
Elaenia mesoleuca,Aves,Passeriformes,Tyrannidae,Elaenia,mesoleuca,,fiofío oliváceo,LC,
Elaenia obscura,Aves,Passeriformes,Tyrannidae,Elaenia,obscura,,fiofío oscuro,LC,
Elaenia parvirostris,Aves,Passeriformes,Tyrannidae,Elaenia,parvirostris,,fiofío pico corto,LC,
Elaenia spectabilis,Aves,Passeriformes,Tyrannidae,Elaenia,spectabilis,,fiofío grande,LC,
Elanoides forficatus,Aves,Accipitriformes,Accipitridae,Elanoides,forficatus,,halcón tijereta,LC,
