scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,dynamicProperties,iucnRegionalStatus
Phytotoma rutila,Aves,Passeriformes,Cotingidae,Phytotoma,rutila,,cortarramas,LC,
Piaya cayana,Aves,Cuculiformes,Cuculidae,Piaya,cayana,,pirincho de monte,LC,
Piculus aurulentus,Aves,Piciformes,Picidae,Piculus,aurulentus,,carpintero dorado,NT,
Picumnus cirratus,Aves,Piciformes,Picidae,Picumnus,cirratus,,carpintero barrado,LC,
Picumnus nebulosus,Aves,Piciformes,Picidae,Picumnus,nebulosus,,carpintero enano,NT,
Pipraeidea melanonota,Aves,Passeriformes,Thraupidae,Pipraeidea,melanonota,,viuva,LC,
Piranga flava,Aves,Passeriformes,Cardinalidae,Piranga,flava,,fueguero,LC,
Pitangus sulphuratus,Aves,Passeriformes,Tyrannidae,Pitangus,sulphuratus,,benteveo,LC,
Platalea ajaja,Aves,Pelecaniformes,Threskiornithidae,Platalea,ajaja,,espátula rosada,LC,
Plegadis chihi,Aves,Pelecaniformes,Threskiornithidae,Plegadis,chihi,,cuervillo de cañada,LC,
Pluvialis dominica,Aves,Charadriiformes,Charadriidae,Pluvialis,dominica,,chorlo dorado,LC,
Pluvialis squatarola,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,,chorlo ártico,LC,
Podiceps major,Aves,Podicipediformes,Podicipedidae,Podiceps,major,,macá grande,LC,
Podilymbus podiceps,Aves,Podicipediformes,Podicipedidae,Podilymbus,podiceps,,macá pico grueso,LC,
Poecilotriccus plumbeiceps,Aves,Passeriformes,Tyrannidae,Poecilotriccus,plumbeiceps,,mosqueta cara canela,LC,
Polioptila dumicola,Aves,Passeriformes,Polioptilidae,Polioptila,dumicola,,piojito azulado,LC,
Polystictus pectoralis,Aves,Passeriformes,Tyrannidae,Polystictus,pectoralis,,tachurí canela,NT,
Poospiza cabanisi,Aves,Passeriformes,Thraupidae,Poospiza,cabanisi,,monterita rabadilla roja,LC,
Poospiza cinerea,Aves,Passeriformes,Thraupidae,Poospiza,cinerea,,,LC,
Poospiza lateralis,Aves,Passeriformes,Thraupidae,Poospiza,lateralis,,monterita rabadilla roja,LC,
Poospiza melanoleuca,Aves,Passeriformes,Thraupidae,Poospiza,melanoleuca,,monterita cabeza negra,LC,
Poospiza nigrorufa,Aves,Passeriformes,Thraupidae,Poospiza,nigrorufa,,sietevestidos,LC,
Poospiza ornata,Aves,Passeriformes,Thraupidae,Poospiza,ornata,,monterita canela,LC,
Porphyrio martinica,Aves,Gruiformes,Rallidae,Porphyrio,martinica,,polla azul,LC,
Porphyriops melanops,Aves,Gruiformes,Rallidae,Porphyriops,melanops,,polla pintada,LC,
Porzana spiloptera,Aves,Gruiformes,Rallidae,Porzana,spiloptera,,burrito plomizo,VU,
Procellaria aequinoctialis,Aves,Procellariiformes,Procellariidae,Procellaria,aequinoctialis,,petrel barba blanca,VU,
Progne chalybea,Aves,Passeriformes,Hirundinidae,Progne,chalybea,,golondrina azul grande,LC,
Progne elegans,Aves,Passeriformes,Hirundinidae,Progne,elegans,,golondrina negra,LC,
Progne tapera,Aves,Passeriformes,Hirundinidae,Progne,tapera,,golondrina parda grande,LC,
Pseudocolopteryx flaviventris,Aves,Passeriformes,Tyrannidae,Pseudocolopteryx,flaviventris,,piojito amarillo,LC,
Pseudoleistes guirahuro,Aves,Passeriformes,Icteridae,Pseudoleistes,guirahuro,,canario de la sierra,LC,
Pseudoleistes virescens,Aves,Passeriformes,Icteridae,Pseudoleistes,virescens,,pecho amarillo,LC,
Pseudoscops clamator,Aves,Strigiformes,Strigidae,Pseudoscops,clamator,,lechuzón orejudo,LC,
Pseudoseisura lophotes,Aves,Passeriformes,Furnariidae,Pseudoseisura,lophotes,,hornerón,LC,
Psittacara leucophthalmus,Aves,Psittaciformes,Psittacidae,Psittacara,leucophthalmus,,loro maracaná,LC,
Pterodroma incerta,Aves,Procellariiformes,Procellariidae,Pterodroma,incerta,,petrel cabez parda,EN,EN
Pterodroma mollis,Aves,Procellariiformes,Procellariidae,Pterodroma,mollis,,petrel collar gris,LC,
Puffinus puffinus,Aves,Procellariiformes,Procellariidae,Puffinus,puffinus,,pardela boreal,LC,
Pyrocephalus rubinus,Aves,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,,churrinche,LC,
Pyrrhura frontalis,Aves,Psittaciformes,Psittacidae,Pyrrhura,frontalis,,chiripepe,LC,
Ramphastos toco,Aves,Piciformes,Ramphastidae,Ramphastos,toco,,tucán grande,LC,
Rhea americana,Aves,Rheiformes,Rheidae,Rhea,americana,,ñandú,NT,
Rhynchotus rufescens,Aves,Tinamiformes,Tinamidae,Rhynchotus,rufescens,,martineta,LC,
Riparia riparia,Aves,Passeriformes,Hirundinidae,Riparia,riparia,,golondrina parda chica,LC,
Rollandia rolland,Aves,Podicipediformes,Podicipedidae,Rollandia,rolland,,macá común,LC,
Rostrhamus sociabilis,Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,,caracolero,LC,
Rupornis magnirostris,Aves,Accipitriformes,Accipitridae,Rupornis,magnirostris,,gavilán común,LC,
Rynchops niger,Aves,Charadriiformes,Laridae,Rynchops,niger,,,LC,
Saltator aurantiirostris,Aves,Passeriformes,Cardinalidae,Saltator,aurantiirostris,,rey del bosque común,LC,
Saltator coerulescens,Aves,Passeriformes,Cardinalidae,Saltator,coerulescens,,rey del bosque gris,LC,
Saltator similis,Aves,Passeriformes,Cardinalidae,Saltator,similis,,rey del bosque verdoso,LC,
Saltatricula multicolor,Aves,Passeriformes,Thraupidae,Saltatricula,multicolor,,pepitero chico,LC,
Satrapa icterophrys,Aves,Passeriformes,Tyrannidae,Satrapa,icterophrys,,vinchero,LC,
Schoeniophylax phryganophilus,Aves,Passeriformes,Furnariidae,Schoeniophylax,phryganophilus,,chotoy,LC,
Serpophaga griseicapilla,Aves,Passeriformes,Tyrannidae,Serpophaga,griseicapilla,,tiquitiqui trinador,LC,
Serpophaga munda,Aves,Passeriformes,Tyrannidae,Serpophaga,munda,,tiquitiqui vientre blanco,LC,
Serpophaga nigricans,Aves,Passeriformes,Tyrannidae,Serpophaga,nigricans,,tiquitiqui oscuro,LC,
Serpophaga subcristata,Aves,Passeriformes,Tyrannidae,Serpophaga,subcristata,,tiquitiqui común,LC,
Setopagis parvula,Aves,Caprimulgiformes,Caprimulgidae,Setopagis,parvula,,dormilón chico,LC,
Setophaga pitiayumi,Aves,Passeriformes,Parulidae,Setophaga,pitiayumi,,pitiayumí,LC,
Sicalis flaveola,Aves,Passeriformes,Thraupidae,Sicalis,flaveola,,dorado,LC,
Sicalis luteola,Aves,Passeriformes,Thraupidae,Sicalis,luteola,,misto,LC,
Sittasomus griseicapillus,Aves,Passeriformes,Furnariidae,Sittasomus,griseicapillus,,taferero,LC,
Spartonoica maluroides,Aves,Passeriformes,Furnariidae,Spartonoica,maluroides,,espartillero enano,NT,
Spatula platalea,Aves,Anseriformes,Anatidae,Spatula,platalea,,pato cuchara,LC,
Spatula versicolor,Aves,Anseriformes,Anatidae,Spatula,versicolor,,pato capuchino,LC,
Spheniscus magellanicus,Aves,Sphenisciformes,Spheniscidae,Spheniscus,magellanicus,,pingüino de magallanes,NT,
Spinus magellanicus,Aves,Passeriformes,Fringillidae,Spinus,magellanicus,,cabecita negra,LC,
Sporophila caerulescens,Aves,Passeriformes,Thraupidae,Sporophila,caerulescens,,gargantillo,LC,
Sporophila cinnamomea,Aves,Passeriformes,Thraupidae,Sporophila,cinnamomea,,capuchino corona gris,VU,
Sporophila collaris,Aves,Passeriformes,Thraupidae,Sporophila,collaris,,dominó,LC,
Sporophila hypochroma,Aves,Passeriformes,Thraupidae,Sporophila,hypochroma,,capuchino castaño,NT,
Sporophila hypoxantha,Aves,Passeriformes,Thraupidae,Sporophila,hypoxantha,,capuchino canela,LC,
Sporophila palustris,Aves,Passeriformes,Thraupidae,Sporophila,palustris,,capuchino pecho blanco,EN,
Sporophila ruficollis,Aves,Passeriformes,Thraupidae,Sporophila,ruficollis,,capuchino garganta café,NT,
Stelgidopteryx ruficollis,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,ruficollis,,golondrina cuello canela,LC,
Stephanophorus diadematus,Aves,Passeriformes,Thraupidae,Stephanophorus,diadematus,,cardenal azul,LC,
Stercorarius antarcticus,Aves,Charadriiformes,Stercorariidae,Stercorarius,antarcticus,,escúa antártica,NE,
Stercorarius chilensis,Aves,Charadriiformes,Stercorariidae,Stercorarius,chilensis,,escúa chilena,LC,
Stercorarius maccormicki,Aves,Charadriiformes,Stercorariidae,Stercorarius,maccormicki,,,LC,
Stercorarius parasiticus,Aves,Charadriiformes,Stercorariidae,Stercorarius,parasiticus,,salteador chico,LC,
Stercorarius pomarinus,Aves,Charadriiformes,Stercorariidae,Stercorarius,pomarinus,,salteador grande,LC,
Sterna hirundinacea,Aves,Charadriiformes,Laridae,Sterna,hirundinacea,,gaviotín cola larga,LC,
Sterna hirundo,Aves,Charadriiformes,Laridae,Sterna,hirundo,,gaviotín golondrina,LC,
Sterna trudeaui,Aves,Charadriiformes,Laridae,Sterna,trudeaui,,gaviotín de antifaz,LC,
Sterna vittata,Aves,Charadriiformes,Laridae,Sterna,vittata,,gaviotín antártico,LC,
Sternula antillarum,Aves,Charadriiformes,Laridae,Sternula,antillarum,,,LC,
Sternula superciliaris,Aves,Charadriiformes,Laridae,Sternula,superciliaris,,gaviotín chico,LC,
Streptoprocne zonaris,Aves,Apodiformes,Apodidae,Streptoprocne,zonaris,,vencejo de collar,LC,
Sturnella defilippii,Aves,Passeriformes,Icteridae,Sturnella,defilippii,,loica pampeana,VU,EN
Sturnella superciliaris,Aves,Passeriformes,Icteridae,Sturnella,superciliaris,,pecho colorado,LC,
Sublegatus modestus,Aves,Passeriformes,Tyrannidae,Sublegatus,modestus,,suirirí copetón,LC,
Suiriri suiriri,Aves,Passeriformes,Tyrannidae,Suiriri,suiriri,,suirirí común,LC,
Synallaxis albescens,Aves,Passeriformes,Furnariidae,Synallaxis,albescens,,pijuí blancuzco,LC,
Synallaxis cinerascens,Aves,Passeriformes,Furnariidae,Synallaxis,cinerascens,,pijuí oscuro,LC,
Synallaxis frontalis,Aves,Passeriformes,Furnariidae,Synallaxis,frontalis,,pijuí frente gris,LC,
Synallaxis ruficapilla,Aves,Passeriformes,Furnariidae,Synallaxis,ruficapilla,,,LC,
Synallaxis spixi,Aves,Passeriformes,Furnariidae,Synallaxis,spixi,,pijuí común,LC,
Syndactyla rufosuperciliata,Aves,Passeriformes,Furnariidae,Syndactyla,rufosuperciliata,,tirirí,LC,
Syrigma sibilatrix,Aves,Pelecaniformes,Ardeidae,Syrigma,sibilatrix,,garza amarilla,LC,
Systellura longirostris,Aves,Caprimulgiformes,Caprimulgidae,Systellura,longirostris,,dormilón patagónico,LC,
Tachuris rubrigastra,Aves,Passeriformes,Tyrannidae,Tachuris,rubrigastra,,sietecolores de laguna,LC,
Tachybaptus dominicus,Aves,Podicipediformes,Podicipedidae,Tachybaptus,dominicus,,macá gris,LC,
Tachycineta leucopyga,Aves,Passeriformes,Hirundinidae,Tachycineta,leucopyga,,,LC,
Tachycineta leucorrhoa,Aves,Passeriformes,Hirundinidae,Tachycineta,leucorrhoa,,golondrina ceja blanca,LC,
Tachyphonus coronatus,Aves,Passeriformes,Thraupidae,Tachyphonus,coronatus,,frutero coronado,LC,
Tangara preciosa,Aves,Passeriformes,Thraupidae,Tangara,preciosa,,achará,LC,
Tapera naevia,Aves,Cuculiformes,Cuculidae,Tapera,naevia,,crespín,LC,
Thalassarche chlororhynchos,Aves,Procellariiformes,Diomedeidae,Thalassarche,chlororhynchos,,albatros pico fino,EN,EN
Thalassarche melanophris,Aves,Procellariiformes,Diomedeidae,Thalassarche,melanophris,,albatros ceja negra,LC,
Thalasseus maximus,Aves,Charadriiformes,Laridae,Thalasseus,maximus,,gaviotín real,LC,CR
Thalasseus sandvicensis,Aves,Charadriiformes,Laridae,Thalasseus,sandvicensis,,gaviotín pico amarillo,LC,
Thamnophilus caerulescens,Aves,Passeriformes,Thamnophilidae,Thamnophilus,caerulescens,,batará plomizo,LC,
Thamnophilus ruficapillus,Aves,Passeriformes,Thamnophilidae,Thamnophilus,ruficapillus,,batará pardo,LC,
Theristicus caerulescens,Aves,Pelecaniformes,Threskiornithidae,Theristicus,caerulescens,,bandurria mora,LC,
Theristicus caudatus,Aves,Pelecaniformes,Threskiornithidae,Theristicus,caudatus,,bandurria amarilla,LC,
Thinocorus rumicivorus,Aves,Charadriiformes,Thinocoridae,Thinocorus,rumicivorus,,agachona,LC,
Thraupis bonariensis,Aves,Passeriformes,Thraupidae,Thraupis,bonariensis,,naranjero,NE,
Thraupis sayaca,Aves,Passeriformes,Thraupidae,Thraupis,sayaca,,celestón,LC,
Tigrisoma lineatum,Aves,Pelecaniformes,Ardeidae,Tigrisoma,lineatum,,garza colorada,LC,
Tolmomyias sulphurescens,Aves,Passeriformes,Tyrannidae,Tolmomyias,sulphurescens,,,LC,
Tringa flavipes,Aves,Charadriiformes,Scolopacidae,Tringa,flavipes,,playero patas amarillas chico,LC,
Tringa melanoleuca,Aves,Charadriiformes,Scolopacidae,Tringa,melanoleuca,,playero patas amarillas grande,LC,
Tringa semipalmata,Aves,Charadriiformes,Scolopacidae,Tringa,semipalmata,,playero ala blanca,LC,
Tringa solitaria,Aves,Charadriiformes,Scolopacidae,Tringa,solitaria,,playerito solitario,LC,
Troglodytes aedon,Aves,Passeriformes,Troglodytidae,Troglodytes,aedon,,ratonera,LC,
Trogon surrucura,Aves,Trogoniformes,Trogonidae,Trogon,surrucura,,trogon,LC,
Turdus albicollis,Aves,Passeriformes,Turdidae,Turdus,albicollis,,zorzal collar blanco,LC,
Turdus amaurochalinus,Aves,Passeriformes,Turdidae,Turdus,amaurochalinus,,sabiá,LC,
Turdus flavipes,Aves,Passeriformes,Turdidae,Turdus,flavipes,,zorzal azulado,LC,
Turdus leucomelas,Aves,Passeriformes,Turdidae,Turdus,leucomelas,,sabiá misionero,LC,
Turdus nigriceps,Aves,Passeriformes,Turdidae,Turdus,nigriceps,,zorzal cabeza negra,LC,
Turdus rufiventris,Aves,Passeriformes,Turdidae,Turdus,rufiventris,,zorzal común,LC,
Tyrannus melancholicus,Aves,Passeriformes,Tyrannidae,Tyrannus,melancholicus,,benteveo real,LC,
Tyrannus savana,Aves,Passeriformes,Tyrannidae,Tyrannus,savana,,tijereta,LC,
Tyrannus tyrannus,Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,,,LC,
Tyto alba,Aves,Strigiformes,Tytonidae,Tyto,alba,,lechuza de campanario,LC,
Vanellus chilensis,Aves,Charadriiformes,Charadriidae,Vanellus,chilensis,,tero,LC,
Veniliornis mixtus,Aves,Piciformes,Picidae,Veniliornis,mixtus,,carpintero bataraz,LC,
Veniliornis spilogaster,Aves,Piciformes,Picidae,Veniliornis,spilogaster,,carpintero manchado,LC,
Vireo olivaceus,Aves,Passeriformes,Vireonidae,Vireo,olivaceus,,chiví,LC,
Volatinia jacarina,Aves,Passeriformes,Thraupidae,Volatinia,jacarina,,volatinero,LC,
Xanthopsar flavus,Aves,Passeriformes,Icteridae,Xanthopsar,flavus,,dragón,VU,
Xenopsaris albinucha,Aves,Passeriformes,Cotingidae,Xenopsaris,albinucha,,tijerilla,LC,
Xolmis cinereus,Aves,Passeriformes,Tyrannidae,Xolmis,cinereus,,escarchero,LC,
Xolmis coronatus,Aves,Passeriformes,Tyrannidae,Xolmis,coronatus,,viudita coronada,LC,
Xolmis irupero,Aves,Passeriformes,Tyrannidae,Xolmis,irupero,,viudita blanca común,LC,
Zenaida auriculata,Aves,Columbiformes,Columbidae,Zenaida,auriculata,,torcaza,LC,
Zonotrichia capensis,Aves,Passeriformes,Emberizidae,Zonotrichia,capensis,,chingolo,LC,
